GATE_HI_VS: -1913.227><760.8013><-1368.162><651.1685><2><><48><35
VS_C10: 87.59693><-564.7352><44.75015><-442.5489><1><><150><35
VS_C11: -723.1452><-511.8736><-443.3705><-474.7043><2><><48><112
VS_C12: -343.6706><-665.7717><-309.7601><-483.1277><1><><151><35
VS_E02: -954.4544><-535.9381><-665.6438><-493.4113><2><><101><112
VS_B17: -989.6674><-252.7738><-665.103><-209.9523><1><Pipeyard><101><37
VS_F02: -1046.893><-41.67678><-687.6843><-88.12968><1><Pipeyard><151><75
VS_E06: -1396.65><-171.3848><-1001.201><-165.4467><1><Pipeyard><148><75
VS_S08: -1668.065><-161.5846><-1120.892><-125.1849><1><><48><35
VS_H01: -1745.076><-929.8154><-1492.325><-695.5453><2><><401><35
VS_B06: -1043.809><-882.9746><-673.9592><-723.1769><2><><48><78
VS_S03: -1151.811><-790.3225><-788.4589><-568.8771><2><><48><35
VS_BASEMENT02: -289.7637><-857.2332><-223.0831><-682.6734><2><???><101><72
VS_BASEMENT01: -23.27725><-908.4901><-6.637043><-675.0113><2><???><48><35
OffScreenDen_VS: -2041.226><638.8025><-811.1622><872.1685><1><Pipeyard><0><0
Connection: GATE_HI_VS,VS_B01,36,5,39,67,3,1
Connection: GATE_SL_VS,VS_D02,2,11,194,16,2,0
Connection: GATE_SB_VS,VS_H01,44,22,6,26,0,2
Connection: GATE_SI_VS,VS_S09,11,19,21,12,1,0
Connection: GATE_SI_VS,VS_E07,11,5,12,167,3,2
Connection: VS_B01,VS_A02,41,8,4,4,0,2
Connection: VS_A02,VS_B02,45,22,4,24,0,2
Connection: VS_A01,VS_S04,43,16,22,16,3,2
Connection: VS_A01,VS_B08,34,9,5,70,3,1
Connection: VS_A01,VS_B04,15,10,39,67,3,1
Connection: VS_A01,VS_C03,23,11,11,94,3,1
Connection: VS_B02,VS_C04,46,44,6,19,0,2
Connection: VS_B02,VS_A03,47,29,3,17,0,2
Connection: VS_B02,VS_S01,39,7,28,13,3,2
Connection: VS_C04,VS_A06,141,19,5,20,0,2
Connection: VS_A03,VS_C02,35,10,38,104,3,1
Connection: VS_A03,VS_B03,30,8,35,71,3,1
Connection: VS_B03,VS_C01,45,10,3,23,0,2
Connection: VS_C01,VS_C03,144,24,9,10,0,3
Connection: VS_D01,VS_A05,3,127,46,13,2,0
Connection: VS_D01,VS_A06,44,121,10,4,0,2
Connection: VS_D01,VS_B04,43,101,5,39,0,2
Connection: VS_D01,VS_C02,4,18,45,49,2,0
Connection: VS_A05,VS_A14,6,19,44,14,2,0
Connection: VS_B04,VS_B08,40,50,8,55,0,2
Connection: VS_B04,VS_B07,26,3,10,71,3,1
Connection: VS_C02,VS_F02,42,8,8,69,0,1
Connection: VS_A04,VS_C05,41,21,43,2,0,3
Connection: VS_A04,VS_S20,3,23,27,23,2,0
Connection: VS_A04,VS_H02,14,8,46,195,3,0
Connection: VS_A04,VS_B12,23,7,4,29,3,1
Connection: VS_B07,VS_F02,14,3,143,65,3,0
Connection: VS_B08,VS_H02,45,46,5,253,0,2
Connection: VS_B08,VS_C03,18,4,33,42,3,0
Connection: VS_H02,VS_C05,40,281,6,12,0,2
Connection: VS_H02,VS_C03,5,159,44,21,2,0
Connection: VS_H02,VS_F01,39,7,88,44,3,1
Connection: VS_C05,VS_B09,141,5,8,28,3,2
Connection: VS_B09,VS_C06,87,16,4,50,0,3
Connection: VS_C06,VS_C13,1,93,145,9,2,0
Connection: VS_C06,VS_B10,43,88,3,8,0,2
Connection: VS_C06,VS_C07,3,17,142,27,2,0
Connection: VS_C13,VS_E07,6,29,42,17,2,0
Connection: VS_B10,VS_A07,43,15,4,13,0,2
Connection: VS_A07,VS_S05,43,22,23,18,0,2
Connection: VS_A07,VS_B11,19,12,43,73,3,1
Connection: VS_B11,VS_A08,4,5,43,5,2,0
Connection: VS_A08,VS_C07,2,7,144,6,2,0
Connection: VS_C07,VS_B12,10,18,91,30,2,0
Connection: VS_B12,VS_C09,92,5,39,105,3,1
Connection: VS_F01,VS_F02,7,48,145,9,1,3
Connection: VS_F01,VS_C11,4,23,34,106,2,0
Connection: VS_F01,VS_D04,142,14,19,11,0,2
Connection: VS_C09,VS_A13,10,3,13,22,3,1
Connection: VS_D04,VS_A13,17,70,19,3,1,3
Connection: VS_D04,VS_B16,88,10,4,27,0,2
Connection: VS_A13,VS_S07,41,20,25,13,0,3
Connection: VS_B16,VS_D03,98,7,15,43,0,2
Connection: VS_B16,VS_C10,6,3,92,31,3,1
Connection: VS_D02,VS_B05,9,24,84,24,2,0
Connection: VS_D02,VS_S02,153,29,22,21,2,0
Connection: VS_B05,VS_E01,7,18,242,18,2,0
Connection: VS_E01,VS_C08,4,30,144,24,2,0
Connection: VS_D05,VS_B18,111,31,15,3,1,3
Connection: VS_D05,VS_B14,3,27,93,16,2,0
Connection: VS_D05,VS_C08,186,23,13,10,0,2
Connection: VS_D03,VS_C10,3,16,147,7,2,0
Connection: VS_D03,VS_A09,94,12,14,17,0,3
Connection: VS_A09,VS_A10,44,18,6,17,0,2
Connection: VS_A10,VS_A11,39,7,3,31,3,2
Connection: VS_A10,VS_B13,19,8,15,64,3,1
Connection: VS_B13,VS_S06,3,16,19,11,2,0
Connection: VS_B13,VS_B14,45,14,5,16,0,2
Connection: VS_A11,VS_B15,20,26,10,9,1,3
Connection: VS_A11,VS_A12,45,22,2,13,0,2
Connection: VS_A12,VS_B15,32,9,95,2,1,3
Connection: VS_A12,VS_A15,45,12,2,2,0,2
Connection: VS_A15,VS_B18,46,17,4,31,0,2
Connection: VS_C08,VS_B18,6,29,94,5,2,0
Connection: VS_C10,VS_C12,10,4,144,29,3,0
Connection: VS_C11,VS_E02,2,41,97,49,2,0
Connection: VS_C11,VS_C12,37,6,5,15,0,2
Connection: VS_C12,VS_BASEMENT02,78,10,33,68,3,1
Connection: VS_E02,VS_B17,82,107,85,7,1,3
Connection: VS_E02,VS_B06,32,4,40,74,0,1
Connection: VS_B17,VS_E06,5,14,142,15,2,0
Connection: VS_F02,VS_E06,6,14,95,52,2,0
Connection: VS_E06,VS_S08,5,20,12,9,2,3
Connection: VS_H01,VS_B06,395,17,3,23,0,2
Connection: VS_B06,VS_S03,15,66,24,24,2,0
Connection: VS_BASEMENT02,VS_BASEMENT01,91,7,5,3,3,3
